is_ood,true_label,true_class_name,k1_pred,k1_confidence,k1_action,k1_correct,scan2_pred,scan2_confidence,scan2_correct,scan2_high_conf_correct,scan3_pred,scan3_confidence,scan3_correct,scan3_high_conf_correct,agreement_pred,agreement_confidence,agreement_action,agreement_correct,scans_agreed
False,4,bookshelf,28,0.6177844405174255,Ask for help,False,28,0.4453480839729309,False,False,8,0.30070286989212036,False,False,28.0,0.5315662622451782,Ask for help,False,True
False,0,airplane,0,0.34556078910827637,Ask for help,True,8,0.5131427049636841,False,False,28,0.5246452689170837,False,False,,0.0,Ask for help,False,False
False,2,bed,26,0.2980988621711731,Ask for help,False,29,0.5062111616134644,False,False,2,0.3501984477043152,True,False,,0.0,Ask for help,False,False
False,6,chair,22,0.33202871680259705,Ask for help,False,15,0.42304763197898865,False,False,8,0.7299680113792419,False,False,,0.0,Ask for help,False,False
False,18,night_stand,28,0.7521852254867554,Ask for help,False,29,0.49944251775741577,False,False,22,0.2868433892726898,False,False,,0.0,Ask for help,False,False
False,32,vase,22,0.4235824644565582,Ask for help,False,29,0.6478699445724487,False,False,29,0.48596683144569397,False,False,29.0,0.5669183880090714,Ask for help,False,True
False,30,toilet,29,0.40202945470809937,Ask for help,False,26,0.21798300743103027,False,False,26,0.6386286020278931,False,False,26.0,0.42830580472946167,Ask for help,False,True
False,30,toilet,28,0.5168312788009644,Ask for help,False,26,0.4827047288417816,False,False,26,0.6080191731452942,False,False,26.0,0.5453619509935379,Ask for help,False,True
False,23,range_hood,27,0.5885722041130066,Ask for help,False,28,0.6129332780838013,False,False,28,0.37068483233451843,False,False,28.0,0.49180905520915985,Ask for help,False,True
False,13,glass_box,30,0.36803382635116577,Ask for help,False,28,0.9326683282852173,False,False,10,0.6306437849998474,False,False,,0.0,Ask for help,False,False
False,0,airplane,8,0.8150677680969238,Re-scan,False,8,0.32512301206588745,False,False,8,0.6095817685127258,False,False,8.0,0.5832575162251791,Ask for help,False,True
False,28,table,8,0.3830562233924866,Ask for help,False,8,0.6827028393745422,False,False,19,0.47260862588882446,False,False,8.0,0.5328795313835144,Ask for help,False,True
False,30,toilet,28,0.6648929119110107,Ask for help,False,8,0.653075098991394,False,False,28,0.2942693829536438,False,False,28.0,0.47958114743232727,Ask for help,False,True
False,32,vase,8,0.3152676224708557,Ask for help,False,10,0.2931758761405945,False,False,21,0.5308170914649963,False,False,,0.0,Ask for help,False,False
False,25,sofa,28,0.3825741708278656,Ask for help,False,6,0.2592661380767822,False,False,29,0.4205714166164398,False,False,,0.0,Ask for help,False,False
False,6,chair,28,0.6404851675033569,Ask for help,False,8,0.30636319518089294,False,False,28,0.4847996234893799,False,False,28.0,0.5626423954963684,Ask for help,False,True
False,21,plant,21,0.46711522340774536,Ask for help,True,15,0.27862030267715454,False,False,21,0.21556738018989563,True,False,21.0,0.3413413017988205,Ask for help,True,True
False,1,bathtub,9,0.29511088132858276,Ask for help,False,29,0.4425341486930847,False,False,19,0.5072993040084839,False,False,,0.0,Ask for help,False,False
False,18,night_stand,29,0.42633819580078125,Ask for help,False,6,0.5041115283966064,False,False,26,0.2941499948501587,False,False,,0.0,Ask for help,False,False
False,30,toilet,30,0.35210978984832764,Ask for help,True,8,0.3159427046775818,False,False,9,0.2990862727165222,False,False,,0.0,Ask for help,False,False
False,14,guitar,8,0.6029925346374512,Ask for help,False,14,0.49078622460365295,True,False,8,0.8387195467948914,False,False,8.0,0.7208560407161713,Ask for help,False,True
False,4,bookshelf,22,0.26115208864212036,Ask for help,False,21,0.3973853588104248,False,False,16,0.45919013023376465,False,False,,0.0,Ask for help,False,False
False,17,monitor,29,0.7681196928024292,Ask for help,False,19,0.786681592464447,False,False,26,0.7341193556785583,False,False,,0.0,Ask for help,False,False
False,4,bookshelf,15,0.28399962186813354,Ask for help,False,8,0.32762184739112854,False,False,27,0.27836379408836365,False,False,,0.0,Ask for help,False,False
False,0,airplane,0,0.7130287885665894,Ask for help,True,0,0.7476735711097717,True,False,15,0.5032130479812622,False,False,0.0,0.7303511798381805,Ask for help,True,True
False,21,plant,21,0.7902665138244629,Re-scan,True,21,0.8843488693237305,True,True,9,0.5201672911643982,False,False,21.0,0.8373076915740967,Re-scan,True,True
False,16,mantel,10,0.3188927173614502,Ask for help,False,15,0.3859744966030121,False,False,8,0.4066528379917145,False,False,,0.0,Ask for help,False,False
False,5,car,19,0.41474562883377075,Ask for help,False,22,0.2847916781902313,False,False,29,0.6340939998626709,False,False,,0.0,Ask for help,False,False
False,14,guitar,15,0.42001208662986755,Ask for help,False,15,0.588942289352417,False,False,14,0.3666094243526459,True,False,15.0,0.5044771879911423,Ask for help,False,True
False,2,bed,9,0.23492252826690674,Ask for help,False,19,0.6986347436904907,False,False,19,0.2947031557559967,False,False,19.0,0.4966689497232437,Ask for help,False,True
False,9,desk,29,0.86890709400177,Re-scan,False,8,0.36943677067756653,False,False,8,0.5135184526443481,False,False,8.0,0.44147761166095734,Ask for help,False,True
False,5,car,29,0.6760050058364868,Ask for help,False,28,0.31105488538742065,False,False,8,0.2502592206001282,False,False,,0.0,Ask for help,False,False
False,31,tv_stand,8,0.3596387505531311,Ask for help,False,2,0.3825973868370056,False,False,22,0.2881785035133362,False,False,,0.0,Ask for help,False,False
False,31,tv_stand,29,0.5649782419204712,Ask for help,False,19,0.7716056108474731,False,False,9,0.42562776803970337,False,False,,0.0,Ask for help,False,False
False,28,table,8,0.6021009683609009,Ask for help,False,28,0.902575671672821,True,True,28,0.40192335844039917,True,False,28.0,0.6522495150566101,Ask for help,True,True
False,20,piano,28,0.7679657340049744,Ask for help,False,19,0.866837203502655,False,False,29,0.47812825441360474,False,False,,0.0,Ask for help,False,False
False,23,range_hood,28,0.6729297637939453,Ask for help,False,6,0.2949519753456116,False,False,21,0.3163079619407654,False,False,,0.0,Ask for help,False,False
