is_ood,true_label,true_class_name,view1_pred,view1_confidence,view1_action,view1_correct,fused_pred,fused_confidence,fused_action,fused_correct
False,17,monitor,20,0.5443511605262756,Ask for help,False,20,0.7183903455734253,Ask for help,False
False,5,car,29,0.5030412673950195,Ask for help,False,5,0.7911719679832458,Re-scan,True
False,20,piano,28,0.7291513681411743,Ask for help,False,28,0.8516456484794617,Re-scan,False
False,17,monitor,21,0.5020855665206909,Ask for help,False,17,0.7803638577461243,Re-scan,True
False,9,desk,29,0.37714412808418274,Ask for help,False,9,0.9813652038574219,Grasp,True
False,28,table,29,0.42719516158103943,Ask for help,False,28,0.4003548324108124,Ask for help,True
False,30,toilet,21,0.34396013617515564,Ask for help,False,30,0.9854910969734192,Grasp,True
False,20,piano,15,0.30459752678871155,Ask for help,False,20,0.47658488154411316,Ask for help,True
False,11,dresser,28,0.5197778940200806,Ask for help,False,11,0.45265084505081177,Ask for help,True
False,11,dresser,15,0.29611051082611084,Ask for help,False,24,0.5801647305488586,Ask for help,False
False,0,airplane,15,0.46910399198532104,Ask for help,False,0,0.9924068450927734,Grasp,True
False,23,range_hood,8,0.3795972168445587,Ask for help,False,23,0.8340955376625061,Re-scan,True
False,12,flower_pot,21,0.716998279094696,Ask for help,False,21,0.5537038445472717,Ask for help,False
False,31,tv_stand,19,0.7141831517219543,Ask for help,False,6,0.8641664385795593,Re-scan,False
False,7,cone,15,0.5980321168899536,Ask for help,False,29,0.5152999758720398,Ask for help,False
False,20,piano,3,0.2505069673061371,Ask for help,False,20,0.924932599067688,Grasp,True
False,2,bed,8,0.3337414562702179,Ask for help,False,2,0.9900014400482178,Grasp,True
False,6,chair,21,0.4999677836894989,Ask for help,False,21,0.3708087205886841,Ask for help,False
False,1,bathtub,2,0.25298914313316345,Ask for help,False,2,0.261586457490921,Ask for help,False
False,31,tv_stand,27,0.5512107014656067,Ask for help,False,3,0.263688862323761,Ask for help,False
False,25,sofa,29,0.40814849734306335,Ask for help,False,3,0.44854241609573364,Ask for help,False
False,15,lamp,15,0.37356239557266235,Ask for help,True,21,0.5326828360557556,Ask for help,False
False,23,range_hood,6,0.470799058675766,Ask for help,False,23,0.7020852565765381,Ask for help,True
False,16,mantel,21,0.363747239112854,Ask for help,False,16,0.961678683757782,Grasp,True
True,5,bottle,15,0.747376561164856,Ask for help,,32,0.6137250661849976,Ask for help,
False,17,monitor,8,0.6347522735595703,Ask for help,False,0,0.355895072221756,Ask for help,False
False,32,vase,21,0.5666136145591736,Ask for help,False,32,0.48240789771080017,Ask for help,True
False,0,airplane,0,0.6204569935798645,Ask for help,True,0,0.9963033199310303,Grasp,True
False,1,bathtub,8,0.21514299511909485,Ask for help,False,20,0.40864449739456177,Ask for help,False
False,4,bookshelf,27,0.3042858839035034,Ask for help,False,27,0.39777716994285583,Ask for help,False
False,18,night_stand,6,0.325711190700531,Ask for help,False,18,0.49978145956993103,Ask for help,True
False,21,plant,29,0.37364432215690613,Ask for help,False,21,0.7511681914329529,Ask for help,True
False,23,range_hood,28,0.41832125186920166,Ask for help,False,23,0.8293541073799133,Re-scan,True
